customer_id,txn_date,cumulative_balance,simple_growth,compound_growth
1,02/01/2020,312,100,100
1,03/01/2020,312,100.0329,100.0329
1,04/01/2020,312,100.0493,100.0493
1,05/01/2020,312,100.0658,100.0658
1,06/01/2020,312,100.0822,100.0822
1,07/01/2020,312,100.0986,100.0987
1,08/01/2020,312,100.1151,100.1151
1,09/01/2020,312,100.1315,100.1316
1,10/01/2020,312,100.1479,100.148
1,11/01/2020,312,100.1644,100.1645
1,12/01/2020,312,100.1808,100.181
1,13/01/2020,312,100.1973,100.1974
1,14/01/2020,312,100.2137,100.2139
1,15/01/2020,312,100.2301,100.2304
1,16/01/2020,312,100.2466,100.2469
1,17/01/2020,312,100.263,100.2633
1,18/01/2020,312,100.2795,100.2798
1,19/01/2020,312,100.2959,100.2963
1,20/01/2020,312,100.3123,100.3128
1,21/01/2020,312,100.3288,100.3293
1,22/01/2020,312,100.3452,100.3458
1,23/01/2020,312,100.3616,100.3623
1,24/01/2020,312,100.3781,100.3788
1,25/01/2020,312,100.3945,100.3953
1,26/01/2020,312,100.411,100.4118
1,27/01/2020,312,100.4274,100.4283
1,28/01/2020,312,100.4438,100.4448
1,29/01/2020,312,100.4603,100.4613
1,30/01/2020,312,100.4767,100.4778
1,31/01/2020,312,100.4932,100.4943
1,01/02/2020,312,100.5096,100.5108
1,02/02/2020,312,100.526,100.5274
1,03/02/2020,312,100.5425,100.5439
1,04/02/2020,312,100.5589,100.5604
1,05/02/2020,312,100.5753,100.577
1,06/02/2020,312,100.5918,100.5935
1,07/02/2020,312,100.6082,100.61
1,08/02/2020,312,100.6247,100.6266
1,09/02/2020,312,100.6411,100.6431
1,10/02/2020,312,100.6575,100.6596
1,11/02/2020,312,100.674,100.6762
1,12/02/2020,312,100.6904,100.6927
1,13/02/2020,312,100.7068,100.7093
1,14/02/2020,312,100.7233,100.7258
1,15/02/2020,312,100.7397,100.7424
1,16/02/2020,312,100.7562,100.759
1,17/02/2020,312,100.7726,100.7755
1,18/02/2020,312,100.789,100.7921
1,19/02/2020,312,100.8055,100.8087
1,20/02/2020,312,100.8219,100.8252
1,21/02/2020,312,100.8384,100.8418
1,22/02/2020,312,100.8548,100.8584
1,23/02/2020,312,100.8712,100.875
1,24/02/2020,312,100.8877,100.8915
1,25/02/2020,312,100.9041,100.9081
1,26/02/2020,312,100.9205,100.9247
1,27/02/2020,312,100.937,100.9413
1,28/02/2020,312,100.9534,100.9579
1,29/02/2020,312,100.9699,100.9745
1,01/03/2020,312,100.9863,100.9911
1,02/03/2020,312,101.0027,101.0077
1,03/03/2020,312,101.0192,101.0243
1,04/03/2020,312,101.0356,101.0409
1,05/03/2020,-300,101.0521,101.0575
1,06/03/2020,-300,101.0685,101.0741
1,07/03/2020,-300,101.0849,101.0907
1,08/03/2020,-300,101.1014,101.1074
1,09/03/2020,-300,101.1178,101.124
1,10/03/2020,-300,101.1342,101.1406
1,11/03/2020,-300,101.1507,101.1572
1,12/03/2020,-300,101.1671,101.1739
1,13/03/2020,-300,101.1836,101.1905
1,14/03/2020,-300,101.2,101.2071
1,15/03/2020,-300,101.2164,101.2238
1,16/03/2020,-300,101.2329,101.2404
1,17/03/2020,24,101.2493,101.257
1,18/03/2020,24,101.2658,101.2737
1,19/03/2020,-640,101.2822,101.2903
2,03/01/2020,549,100,100
2,04/01/2020,549,100.0329,100.0329
2,05/01/2020,549,100.0493,100.0493
2,06/01/2020,549,100.0658,100.0658
2,07/01/2020,549,100.0822,100.0822
2,08/01/2020,549,100.0986,100.0987
2,09/01/2020,549,100.1151,100.1151
2,10/01/2020,549,100.1315,100.1316
2,11/01/2020,549,100.1479,100.148
2,12/01/2020,549,100.1644,100.1645
2,13/01/2020,549,100.1808,100.181
2,14/01/2020,549,100.1973,100.1974
2,15/01/2020,549,100.2137,100.2139
2,16/01/2020,549,100.2301,100.2304
2,17/01/2020,549,100.2466,100.2469
2,18/01/2020,549,100.263,100.2633
2,19/01/2020,549,100.2795,100.2798
2,20/01/2020,549,100.2959,100.2963
2,21/01/2020,549,100.3123,100.3128
2,22/01/2020,549,100.3288,100.3293
2,23/01/2020,549,100.3452,100.3458
2,24/01/2020,549,100.3616,100.3623
2,25/01/2020,549,100.3781,100.3788
2,26/01/2020,549,100.3945,100.3953
2,27/01/2020,549,100.411,100.4118
2,28/01/2020,549,100.4274,100.4283
2,29/01/2020,549,100.4438,100.4448
2,30/01/2020,549,100.4603,100.4613
2,31/01/2020,549,100.4767,100.4778
2,01/02/2020,549,100.4932,100.4943
2,02/02/2020,549,100.5096,100.5108
2,03/02/2020,549,100.526,100.5274
2,04/02/2020,549,100.5425,100.5439
2,05/02/2020,549,100.5589,100.5604
2,06/02/2020,549,100.5753,100.577
2,07/02/2020,549,100.5918,100.5935
2,08/02/2020,549,100.6082,100.61
2,09/02/2020,549,100.6247,100.6266
2,10/02/2020,549,100.6411,100.6431
2,11/02/2020,549,100.6575,100.6596
2,12/02/2020,549,100.674,100.6762
2,13/02/2020,549,100.6904,100.6927
2,14/02/2020,549,100.7068,100.7093
2,15/02/2020,549,100.7233,100.7258
2,16/02/2020,549,100.7397,100.7424
2,17/02/2020,549,100.7562,100.759
2,18/02/2020,549,100.7726,100.7755
2,19/02/2020,549,100.789,100.7921
